survey,item,variable,values,question_text, response_categories,old_item
aes1993,right4a,h3,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes1996,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes1998,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2001,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2004,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2007,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2010,right4a,c9,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2013,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2016,right4a,c6,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
aes2019,right4a,c6,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,PT_official_right_4
afrob5,trust_tax4,q59d,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: The [Tax Department]?",0 Not at all / 1 Just a little /  2 Somewhat / 3 A lot ,PT_tax_4
afrob6,trust_tax4,q52d,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: The [Tax Department]?",0 Not at all / 1 Just a little /  2 Somewhat / 3 A lot ,PT_tax_4
amb_brazil2016,PT_official_health_7,braminh5,c(1:7),,,PT_official_health_7
amb_colombia2018,trust_cab7,colb67,c(1:7),To what extent do you trust the Community Action Board?,1 Not at all / 7 A lot,PT_admin_7
amb_combo,trust_tax7,b42,c(1:7),To what extent do you trust the [National Tax Service],1 Not at all / 7 A lot,PT_tax_7
amb_suriname2010,trust_bla7,b17,c(1:7),To what extent do you trust the Bureau for Legal Assistance?,1 Not at all / 7 A lot,PT_admin_7
anpas1979,right2a,trusgv79,"c(5,1)","In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Do right thing / 5 Look after self,PT_official_right_2
arabb5,trust4,q201c_32,c(4:1),And how much trust do you have in... Civil service / public administration,1 A great deal of trust / 2 Quite a lot of trust / 3 Not a lot of trust / 4 No trust at all,PT_cvlservice_4
ases2000,trust4,v0051,c(4:1),"Now, could you tell me how much confidence you have in each of the following? ",1 A great deal / 2 Quite a lot / 3 Not very much / 4 None at all,PT_cvlservice_4
asianb1,trust4,q011,c(1:4),"I am going to name a number of institutions. For each one, could you tell me how much trust you have in them. Is it a great deal of trust, some trust, not very much trust or none at all? Civil service",1 Not at all / 2 Not very much / 3 Quite a lot / 4 A great deal,PT_cvlservice_4
asianb1,right4,q131,c(4:1),You can generally trust the people who run our government to do what is right.,1 Strongly agree / 4 Strongly disagree,PT_official_4
asianb2,trust4,q12,c(1:4),"I am going to name a number of institutions. For each one, could you tell me how much trust you have in them. Is it a great deal of trust, some trust, not very much trust or none at all? Civil service",1 Not at all / 2 Not very much / 3 Quite a lot / 4 A great deal,PT_cvlservice_4
asianb2,right4,q130,c(4:1),You can generally trust the people who run our government to do what is right.,1 Strongly agree / 4 Strongly disagree,PT_official_4
asianb3,trust4,q12,c(4:1),"I am going to name a number of institutions. For each one, could you tell me how much trust you have in them. Is it a great deal of trust, some trust, not very much trust or none at all? Civil service",1 A great deal / 2 Quite a lot / 3 Not very much / 4 None at all,PT_cvlservice_4
asianb3,right4,q136,c(4:1),You can generally trust the people who run our government to do what is right.,1 Strongly agree / 4 Strongly disagree,PT_official_4
asianb4,trust4,q12,c(4:1),"I am going to name a number of institutions. For each one, could you tell me how much trust you have in them. Is it a great deal of trust, some trust, not very much trust or none at all? Civil service",1 A great deal / 2 Quite a lot / 3 Not very much / 4 None at all,PT_cvlservice_4
asianb4,right4,q137,c(4:1),You can generally trust the people who run our government to do what is right.,1 Strongly agree / 4 Strongly disagree,PT_official_4
