"","VCF0004","year","int_eff","ext_eff","ext_eff2","n"
"1",1948,1948,0,0,0,662
"2",1952,1952,1258,618,549,1899
"3",1954,1954,0,0,0,1139
"4",1956,1956,1107,459,492,1762
"5",1958,1958,0,0,0,1450
"6",1960,1960,669,286,322,1181
"7",1962,1962,0,0,0,1297
"8",1964,1964,1044,564,457,1571
"9",1966,1966,892,443,440,1291
"10",1968,1968,952,573,549,1557
"11",1970,1970,1101,710,534,1507
"12",1972,1972,1982,1319,1083,2705
"13",1974,1974,1122,785,633,1575
"14",1976,1976,1351,972,768,2248
"15",1978,1978,1647,1155,1029,2304
"16",1980,1980,983,728,550,1614
"17",1982,1982,0,657,637,1418
"18",1984,1984,1580,945,706,2257
"19",1986,1986,0,565,0,2176
"20",1988,1988,1239,896,730,2040
"21",1990,1990,1293,1246,1059,1980
"22",1992,1992,1466,1169,815,2485
"23",1994,1994,1146,1164,973,1795
"24",1996,1996,926,928,891,1714
"25",1998,1998,905,765,514,1281
"26",2000,2000,893,850,607,1807
"27",2002,2002,0,388,348,1511
"28",2004,2004,0,532,447,1212
"29",2008,2008,719,624,522,2322
"30",2012,2012,1636,1831,1447,5914
"31",2016,2016,1988,2158,1819,4270
