country,year,item,r,n,survey,cc_rank
United States,1973,trust3,1,274.9971932426037,usgss,183
United States,1973,trust3,2,754.9922941751483,usgss,183
United States,1973,trust3,3,438.9955193945565,usgss,183
United States,1974,trust3,1,617.9936924506512,usgss,183
United States,1974,trust3,2,629.9935699739649,usgss,183
United States,1974,trust3,3,201.99793830911256,usgss,183
United States,1975,trust3,1,438.9955193945565,usgss,183
United States,1975,trust3,2,812.9917022044975,usgss,183
United States,1975,trust3,3,197.99797913467467,usgss,183
United States,1976,trust3,1,373.99618280994105,usgss,183
United States,1976,trust3,2,873.9910796146751,usgss,183
United States,1976,trust3,3,200.99794851550308,usgss,183
United States,1977,trust3,1,220.99774438769245,usgss,183
United States,1977,trust3,2,829.9915286958585,usgss,183
United States,1977,trust3,3,425.9956520776334,usgss,183
United States,1978,trust3,1,379.9961215715979,usgss,183
United States,1978,trust3,2,907.990732597397,usgss,183
United States,1978,trust3,3,190.99805057940839,usgss,183
United States,1980,trust3,1,501.99487639195297,usgss,183
United States,1980,trust3,2,736.992477890178,usgss,183
United States,1980,trust3,3,176.99819346887585,usgss,183
United States,1982,trust3,1,494.99494783668666,usgss,183
United States,1982,trust3,2,983.9899569117166,usgss,183
United States,1982,trust3,3,322.99670333585817,usgss,183
United States,1982,trust4,1,296.7793515873663,"evs_combo, wvs_combo",183
United States,1982,trust4,2,1665.2712494057473,"evs_combo, wvs_combo",183
United States,1982,trust4,3,1840.768296612926,"evs_combo, wvs_combo",183
United States,1982,trust4,4,758.6429205064601,"evs_combo, wvs_combo",183
United States,1983,trust3,1,470.99519279005943,usgss,183
United States,1983,trust3,2,867.9911408530182,usgss,183
United States,1983,trust3,3,205.99789748355042,usgss,183
United States,1984,trust3,1,279.9971422106511,usgss,183
United States,1984,trust3,2,492.9949682494678,usgss,183
United States,1984,trust3,3,180.99815264331372,usgss,183
United States,1984,trust7,1,58.99939782295861,usgss,183
United States,1984,trust7,2,61.99936720378702,usgss,183
United States,1984,trust7,3,69.99928555266277,usgss,183
United States,1984,trust7,4,106.99890791621308,usgss,183
United States,1984,trust7,5,67.99930596544382,usgss,183
United States,1984,trust7,6,67.99930596544382,usgss,183
United States,1984,trust7,7,34.999642776331385,usgss,183
United States,1986,trust3,1,345.9964685888759,usgss,183
United States,1986,trust3,2,778.9920492217756,usgss,183
United States,1986,trust3,3,301.99691767005936,usgss,183
United States,1987,trust3,1,529.9945906130181,usgss,183
United States,1987,trust3,2,903.9907734229591,usgss,183
United States,1987,trust3,3,315.9967747805919,usgss,183
United States,1988,trust3,1,265.9972851001185,usgss,183
United States,1988,trust3,2,529.9945906130181,usgss,183
United States,1988,trust3,3,163.99832615195277,usgss,183
United States,1989,trust3,1,224.9977035621303,usgss,183
United States,1989,trust3,2,556.9943150404737,usgss,183
United States,1989,trust3,3,201.99793830911256,usgss,183
United States,1990,trust3,1,207.99787707076936,usgss,183
United States,1990,trust3,2,450.9953969178701,usgss,183
United States,1990,trust3,3,209.99785665798828,usgss,183
United States,1990,trust4,1,157.82944188539665,"evs_combo, wvs_combo",183
United States,1990,trust4,2,1329.832930090969,"evs_combo, wvs_combo",183
United States,1990,trust4,3,1703.1993801332042,"evs_combo, wvs_combo",183
United States,1990,trust4,4,422.57969720343664,"evs_combo, wvs_combo",183
United States,1991,trust3,1,211.99783624520722,usgss,183
United States,1991,trust3,2,514.9947437088761,usgss,183
United States,1991,trust3,3,262.9973157192901,usgss,183
United States,1991,trust5,1,179.65509397048902,"issp1991, usgss",183
United States,1991,trust5,2,690.3600240214298,"issp1991, usgss",183
United States,1991,trust5,3,1263.6414474778217,"issp1991, usgss",183
United States,1991,trust5,4,329.03123951898556,"issp1991, usgss",183
United States,1991,trust5,5,113.04140744210545,"issp1991, usgss",183
United States,1993,trust3,1,339.99652982721915,usgss,183
United States,1993,trust3,2,555.9943252468643,usgss,183
United States,1993,trust3,3,123.99873440757403,usgss,183
United States,1994,trust3,1,700.992845320237,usgss,183
United States,1994,trust3,2,1033.98944659219,usgss,183
United States,1994,trust3,3,225.99769335573978,usgss,183
United States,1995,trust4,1,106.70127381789105,wvs_combo,183
United States,1995,trust4,2,553.5450835671948,wvs_combo,183
United States,1995,trust4,3,612.5198762882163,wvs_combo,183
United States,1995,trust4,4,98.39644560940496,wvs_combo,183
United States,1996,best5,1,369.3369621133713,"issp1996, usgss",183
United States,1996,best5,2,946.4259654155142,"issp1996, usgss",183
United States,1996,best5,3,627.1033835883284,"issp1996, usgss",183
United States,1996,best5,4,411.6568223555285,"issp1996, usgss",183
United States,1996,best5,5,75.02157042927855,"issp1996, usgss",183
United States,1996,trust3,1,799.9918348875744,usgss,183
United States,1996,trust3,2,861.9912020913614,usgss,183
United States,1996,trust3,3,193.9980199602368,usgss,183
United States,1998,trust3,1,670.9931515119531,usgss,183
United States,1998,trust3,2,908.9907223910064,usgss,183
United States,1998,trust3,3,264.99729530650905,usgss,183
United States,1999,trust4,1,85.11221912148783,wvs_combo,183
United States,1999,trust4,2,425.59293157437963,wvs_combo,183
United States,1999,trust4,3,497.865996138751,wvs_combo,183
United States,1999,trust4,4,124.94900371627817,wvs_combo,183
United States,2000,trust_pollution5,1,84.22786461978805,issp2000,183
United States,2000,trust_pollution5,2,288.7812501249876,issp2000,183
United States,2000,trust_pollution5,3,527.4268665477204,issp2000,183
United States,2000,trust_pollution5,4,185.50184469834272,issp2000,183
United States,2000,trust_pollution5,5,44.11935765798422,issp2000,183
United States,2000,trust3,1,631.9935495611838,usgss,183
United States,2000,trust3,2,923.9905692951485,usgss,183
United States,2000,trust3,3,248.99745860875754,usgss,183
United States,2002,trust3,1,192.99803016662733,usgss,183
United States,2002,trust3,2,454.995356092308,usgss,183
United States,2002,trust3,3,242.99751984710073,usgss,183
United States,2004,right5,1,139.93857171770898,usgss,183
United States,2004,right5,2,422.8156845339553,usgss,183
United States,2004,right5,3,443.9354689749872,usgss,183
United States,2004,right5,4,444.6854613201944,usgss,183
United States,2004,right5,5,28.86970534150534,usgss,183
United States,2004,trust3,1,267.1472733627694,usgss,183
United States,2004,trust3,2,405.87585743021094,usgss,183
United States,2004,trust3,3,189.95806119405458,usgss,183
United States,2005,right5,1,140.83539523094834,issp2004,183
United States,2005,right5,2,427.60898324696416,issp2004,183
United States,2005,right5,3,440.54226766454445,issp2004,183
United States,2005,right5,4,441.22018088161246,issp2004,183
United States,2005,right5,5,28.74820396715183,issp2004,183
United States,2006,best5,1,435.1120697695891,"issp2006, usgss",183
United States,2006,best5,2,1007.8015532164787,"issp2006, usgss",183
United States,2006,best5,3,608.3158744681878,"issp2006, usgss",183
United States,2006,best5,4,825.2689481788175,"issp2006, usgss",183
United States,2006,best5,5,113.18167555891647,"issp2006, usgss",183
United States,2006,trust3,1,743.1124154270678,usgss,183
United States,2006,trust3,2,904.3507697486585,usgss,183
United States,2006,trust3,3,312.9268061142108,usgss,183
United States,2006,trust4,1,89.21484998734016,wvs_combo,183
United States,2006,trust4,2,609.1310522694073,wvs_combo,183
United States,2006,trust4,3,453.48046364442257,wvs_combo,183
United States,2006,trust4,4,41.5048219539488,wvs_combo,183
United States,2008,trust3,1,508.5869692407232,usgss,183
United States,2008,trust3,2,657.1871238229917,usgss,183
United States,2008,trust3,3,140.51988356187692,usgss,183
United States,2010,right5,1,481.9706879912744,"issp2010, usgss",183
United States,2010,right5,2,966.9129657686494,"issp2010, usgss",183
United States,2010,right5,3,646.0160667821107,"issp2010, usgss",183
United States,2010,right5,4,625.247545689265,"issp2010, usgss",183
United States,2010,right5,5,43.13627139129731,"issp2010, usgss",183
United States,2010,trust3,1,498.1186384683449,usgss,183
United States,2010,trust3,2,622.3089799284239,usgss,183
United States,2010,trust3,3,233.6430538331752,usgss,183
United States,2011,trust4,1,148.7128704603307,wvs_combo,183
United States,2011,trust4,2,1021.2350995285939,wvs_combo,183
United States,2011,trust4,3,911.0314568967526,wvs_combo,183
United States,2011,trust4,4,95.4924771152406,wvs_combo,183
United States,2012,best5,1,106.32039520002458,usgss,183
United States,2012,best5,2,227.36798813784233,usgss,183
United States,2012,best5,3,181.02098738739699,usgss,183
United States,2012,best5,4,112.94901464977558,usgss,183
United States,2012,best5,5,8.966368790701646,usgss,183
United States,2012,many5,1,56.23279271858046,usgss,183
