"country","year","hcor_rate","hcor_nat","n"
"Ecuador",2018,1068,883,1200
"Indonesia",2018,2674,2289,3200
"Jordan",2018,927,821,1203
"Macao SAR China",2020,542,288,1023
"Nigeria",2018,1067,794,1237
"Serbia",2017,841,758,1046
"Tunisia",2019,979,850,1208
"China",2018,1620,426,3036
"Singapore",2020,195,105,2012
"Vietnam",2020,833,133,1200
"Canada",2020,2334,1328,4018
"Ethiopia",2020,994,577,1230
"Zimbabwe",2020,981,723,1215
"Andorra",2018,413,260,1004
"Argentina",2017,883,609,1003
"Bangladesh",2018,897,614,1200
"Bolivia",2017,1768,1389,2067
"Myanmar (Burma)",2020,819,270,1200
"Colombia",2018,1440,1172,1520
"Iran",2020,821,749,1499
"Kazakhstan",2018,721,311,1276
"Kyrgyzstan",2020,968,729,1200
"Lebanon",2018,908,1019,1200
"Mexico",2018,1518,1373,1739
"Pakistan",2018,1646,1122,1995
"Peru",2018,1356,1280,1400
"Puerto Rico",2018,1045,681,1127
"Ukraine",2020,1034,873,1289
"Egypt",2018,1017,0,1200
"Nicaragua",2020,841,646,1200
"Iraq",2018,1054,943,1200
"Tajikistan",2020,402,0,1200
"Guatemala",2020,1083,853,1203
"Malaysia",2018,1020,650,1313
"Australia",2019,890,NA,2000
"Brazil",2018,2255,NA,2506
"Chile",2017,1787,NA,2000
"Hong Kong SAR China",2016,496,NA,1020
"Iceland",2016,1262,NA,3368
"Iceland",2017,1262,NA,3368
"South Korea",2016,1079,NA,1199
"Montenegro",2016,964,NA,1213
"Norway",2017,418,NA,1792
"New Zealand",2017,358,NA,1808
"Turkey",2018,656,NA,1069
"Taiwan",2016,1287,NA,1690
"United States",2016,2627,NA,3648
"Belgium",2017,665,NA,1005
"Denmark",2017,214,NA,1005
"Greece",2017,970,NA,1003
"Spain",2017,957,NA,1016
"Finland",2017,231,NA,1017
"France",2017,691,NA,1030
"Ireland",2017,705,NA,1008
"Italy",2017,916,NA,1025
"Luxembourg",2017,203,NA,508
"Netherlands",2017,468,NA,1025
"Austria",2017,499,NA,1012
"Portugal",2017,1019,NA,1099
"Sweden",2017,428,NA,1051
"Germany",2017,832,NA,1554
"United Kingdom",2017,776,NA,1382
"Bulgaria",2017,849,NA,1027
"Cyprus",2017,472,NA,502
"Czechia",2017,865,NA,1027
"Estonia",2017,685,NA,1004
"Hungary",2017,899,NA,1038
"Latvia",2017,831,NA,1001
"Lithuania",2017,937,NA,1008
"Malta",2017,390,NA,509
"Poland",2017,611,NA,1037
"Romania",2017,848,NA,1055
"Slovakia",2017,924,NA,1080
"Slovenia",2017,907,NA,1014
"Croatia",2017,980,NA,1038
"Switzerland",2017,74,NA,1066
"Georgia",2016,408,NA,1487
"India",2018,740,NA,1508
"Japan",2016,518,NA,1611
"Philippines",2016,869,NA,1200
"Russia",2016,951,NA,1576
"Suriname",2018,719,NA,1273
"Thailand",2017,633,NA,1475
"Venezuela",2016,703,NA,1045
"South Africa",2017,1974,NA,3063
"Israel",2015,729,NA,1248
